INDUSINDBK.csv,Reliance.csv,Bajaj_Finserv.csv,Axis.csv,Kotakbank.csv,TITAN.csv,TECHM.csv,LT.csv,MarutiSuzuki.csv,TATASTEEL.csv,Bharti_Airtel.csv,HDFC_BANK.csv,Nestle_India.csv,TCS.csv,ITC.csv,HEROMOTOCO.csv,icici.csv,ONGC.csv,HCL.csv,POWERGRID.csv,BAJAJ-AUTO.csv,HU.csv,Infosys.csv,ULTRACEMCO.csv,SBI.csv,Sun_Pharma.csv,NTPC.csv,MnM.csv,AsianPaints.csv,HDFC.csv
1164.65,2650.5,1606.7,914.65,1911.45,2596.85,1078.05,2124.0,8659.15,111.2,834.0,1610.45,19910.85,3380.6,340.1,2759.55,922.15,140.65,1105.9,221.05,3634.65,2707.35,1605.5,7162.2,607.05,1017.75,171.85,1266.6,3226.5,2659.85
1184.1,2690.2,1635.25,904.65,1935.25,2617.0,1088.8,2093.5,8717.35,112.95,833.35,1611.15,19911.1,3385.35,337.3,2798.8,922.65,142.45,1120.95,223.5,3694.8,2654.55,1612.9,7242.05,608.95,1033.55,175.2,1263.05,3161.7,2684.1
1195.5,2682.45,1634.2,899.2,1938.45,2615.65,1099.75,2085.6,8792.05,115.85,844.1,1612.95,19752.2,3425.9,336.75,2827.65,933.6,143.75,1130.85,221.9,3659.9,2619.85,1639.75,7198.6,617.3,1039.4,175.15,1259.8,3156.9,2675.8
1178.7,2722.15,1642.65,905.15,1930.8,2617.9,1114.75,2085.5,8815.85,112.0,848.65,1607.1,19751.2,3439.15,337.15,2820.45,930.6,140.9,1135.55,219.8,3659.35,2615.1,1637.9,7237.05,607.55,1040.0,172.15,1264.6,3143.45,2665.3
1173.9,2723.3,1638.8,903.85,1934.3,2638.7,1101.5,2104.25,8958.15,110.75,848.6,1619.5,20049.5,3475.65,339.55,2871.8,940.2,140.05,1136.4,221.9,3707.6,2662.85,1657.1,7274.0,608.1,1046.45,172.2,1293.45,3179.35,2700.95
1167.8,2731.35,1626.5,901.25,1947.05,2653.0,1077.0,2074.85,8974.15,107.65,848.75,1608.45,20183.85,3390.8,340.0,2851.9,952.9,141.1,1120.8,224.0,3750.7,2684.35,1634.95,7077.0,602.45,1046.05,172.2,1305.6,3175.15,2692.55
1180.6,2712.2,1632.0,892.55,1925.55,2613.75,1074.55,2050.55,8910.2,106.1,835.85,1597.85,20121.2,3397.35,342.3,2828.25,946.75,140.25,1128.95,219.35,3660.1,2634.2,1629.05,6928.9,608.55,1049.85,170.15,1257.1,3135.05,2665.25
1197.85,2707.55,1652.85,891.7,1928.15,2592.25,1077.2,2064.45,8985.4,104.9,837.4,1600.25,19815.45,3395.25,340.05,2783.5,937.4,139.6,1118.8,221.3,3676.7,2525.2,1623.4,6892.3,608.6,1034.75,170.4,1250.7,3151.2,2658.7
1187.1,2617.6,1633.7,887.75,1928.4,2595.4,1080.15,2062.75,9019.5,106.2,846.85,1617.65,19529.35,3389.65,340.3,2708.15,930.3,140.55,1128.2,220.6,3640.25,2537.45,1635.65,6874.0,607.4,1033.85,169.75,1260.8,3108.15,2681.35
1175.55,2579.1,1634.0,878.55,1944.85,2610.2,1069.3,2052.2,8967.1,105.5,848.35,1625.15,19735.45,3380.15,340.75,2673.1,938.85,139.45,1129.6,220.75,3620.15,2549.15,1629.8,6860.2,609.35,1035.1,169.5,1254.05,3115.3,2689.05
1174.35,2557.05,1636.2,874.7,1953.35,2601.75,1044.05,2025.0,8934.5,105.45,843.25,1599.15,19565.1,3308.3,339.8,2658.85,927.45,136.5,1103.4,215.15,3607.85,2507.35,1583.15,6824.05,607.65,1017.65,168.05,1235.7,3100.8,2637.45
1169.4,2565.05,1643.35,870.05,1939.75,2606.2,1050.65,2029.8,8873.75,105.2,847.6,1595.0,19613.5,3314.95,340.25,2685.45,923.7,135.2,1103.4,217.8,3619.1,2515.7,1585.05,6843.05,599.1,1010.1,167.05,1228.45,3103.85,2625.35
1139.0,2550.9,1635.85,870.05,1944.1,2573.35,1042.6,2011.45,8865.2,104.25,851.2,1597.35,19761.7,3283.5,337.2,2677.45,921.4,135.45,1095.5,219.05,3619.5,2501.4,1568.2,6754.85,598.1,1003.15,164.4,1218.25,3095.3,2618.9
1128.65,2597.65,1654.4,859.2,1959.55,2565.8,1060.85,2024.45,8848.05,105.5,837.3,1613.9,19925.1,3343.45,341.05,2723.15,920.35,141.75,1103.15,218.35,3632.95,2483.7,1593.4,6814.45,602.7,1009.6,165.85,1227.15,3095.5,2667.05
